,date,temperature_2m_max
132,2010-05-12 08:00:00+00:00,77.0018
133,2010-05-13 08:00:00+00:00,76.5518
134,2010-05-14 08:00:00+00:00,74.5718
135,2010-05-15 08:00:00+00:00,79.3418
136,2010-05-16 08:00:00+00:00,75.9218
137,2010-05-17 08:00:00+00:00,65.8418
138,2010-05-18 08:00:00+00:00,66.5618
139,2010-05-19 08:00:00+00:00,77.4518
140,2010-05-20 08:00:00+00:00,82.5818
141,2010-05-21 08:00:00+00:00,74.7518
142,2010-05-22 08:00:00+00:00,71.0618
143,2010-05-23 08:00:00+00:00,68.0018
144,2010-05-24 08:00:00+00:00,70.3418
145,2010-05-25 08:00:00+00:00,71.6918
146,2010-05-26 08:00:00+00:00,72.411804
147,2010-05-27 08:00:00+00:00,66.5618
148,2010-05-28 08:00:00+00:00,75.2018
149,2010-05-29 08:00:00+00:00,88.8818
150,2010-05-30 08:00:00+00:00,87.0818
151,2010-05-31 08:00:00+00:00,78.7118
152,2010-06-01 08:00:00+00:00,71.3318
153,2010-06-02 08:00:00+00:00,77.5418
154,2010-06-03 08:00:00+00:00,78.0818
155,2010-06-04 08:00:00+00:00,80.6918
156,2010-06-05 08:00:00+00:00,84.3818
157,2010-06-06 08:00:00+00:00,84.2918
158,2010-06-07 08:00:00+00:00,80.4218
159,2010-06-08 08:00:00+00:00,77.9018
160,2010-06-09 08:00:00+00:00,74.3018
161,2010-06-10 08:00:00+00:00,75.2018
162,2010-06-11 08:00:00+00:00,75.4718
163,2010-06-12 08:00:00+00:00,74.661804
164,2010-06-13 08:00:00+00:00,79.8818
165,2010-06-14 08:00:00+00:00,87.621796
166,2010-06-15 08:00:00+00:00,83.6618
167,2010-06-16 08:00:00+00:00,76.371796
168,2010-06-17 08:00:00+00:00,79.5218
169,2010-06-18 08:00:00+00:00,77.9918
170,2010-06-19 08:00:00+00:00,79.0718
171,2010-06-20 08:00:00+00:00,78.8918
172,2010-06-21 08:00:00+00:00,73.8518
173,2010-06-22 08:00:00+00:00,79.7018
174,2010-06-23 08:00:00+00:00,81.0518
175,2010-06-24 08:00:00+00:00,82.4918
176,2010-06-25 08:00:00+00:00,81.1418
177,2010-06-26 08:00:00+00:00,77.3618
178,2010-06-27 08:00:00+00:00,81.5918
179,2010-06-28 08:00:00+00:00,81.5918
180,2010-06-29 08:00:00+00:00,79.4318
181,2010-06-30 08:00:00+00:00,84.0218
182,2010-07-01 08:00:00+00:00,86.2718
183,2010-07-02 08:00:00+00:00,82.4018
184,2010-07-03 08:00:00+00:00,76.4618
185,2010-07-04 08:00:00+00:00,76.1018
186,2010-07-05 08:00:00+00:00,77.0918
187,2010-07-06 08:00:00+00:00,76.5518
188,2010-07-07 08:00:00+00:00,78.621796
189,2010-07-08 08:00:00+00:00,78.3518
190,2010-07-09 08:00:00+00:00,83.57179
191,2010-07-10 08:00:00+00:00,81.1418
192,2010-07-11 08:00:00+00:00,82.1318
193,2010-07-12 08:00:00+00:00,83.3018
194,2010-07-13 08:00:00+00:00,90.8618
195,2010-07-14 08:00:00+00:00,98.3318
196,2010-07-15 08:00:00+00:00,99.1418
197,2010-07-16 08:00:00+00:00,98.511795
198,2010-07-17 08:00:00+00:00,97.341805
199,2010-07-18 08:00:00+00:00,90.231804
200,2010-07-19 08:00:00+00:00,86.1818
201,2010-07-20 08:00:00+00:00,82.2218
202,2010-07-21 08:00:00+00:00,80.9618
203,2010-07-22 08:00:00+00:00,81.5918
204,2010-07-23 08:00:00+00:00,85.371796
205,2010-07-24 08:00:00+00:00,86.5418
206,2010-07-25 08:00:00+00:00,81.5918
207,2010-07-26 08:00:00+00:00,78.8918
208,2010-07-27 08:00:00+00:00,79.8818
209,2010-07-28 08:00:00+00:00,80.2418
210,2010-07-29 08:00:00+00:00,82.2218
211,2010-07-30 08:00:00+00:00,80.871796
212,2010-07-31 08:00:00+00:00,78.621796
213,2010-08-01 08:00:00+00:00,78.8918
214,2010-08-02 08:00:00+00:00,86.4518
215,2010-08-03 08:00:00+00:00,87.8918
216,2010-08-04 08:00:00+00:00,86.2718
217,2010-08-05 08:00:00+00:00,83.121796
218,2010-08-06 08:00:00+00:00,82.3118
